Dataset Name,Algorithm Name,Cross Validation [1 - 10],Hyper-Parameters Values,Accuracy,TPR,FPR, Precision,AUC,PR-Curve,Training Time,Inference Time
cloud, BROOF, 8, n_trees: 20 | M: 2 | , 0.73, 0.25, 0.00, 1.00, 0.62, 0.52, 5.68, 0.00
cloud, XGBoost, 8, n_trees: 20 | M: 2 | , 0.64, 0.00, 0.00, 1.00, 0.50, 0.36, 0.50, 0.00
cloud, BROOF, 9, n_trees: 20 | M: 10 | , 0.60, 0.00, 0.14, 0.00, 0.43, 0.30, 6.63, 2.05
cloud, XGBoost, 9, n_trees: 20 | M: 10 | , 0.60, 0.33, 0.29, 0.33, 0.52, 0.31, 0.50, 0.00
cloud, BROOF, 10, n_trees: 5 | M: 2 | , 0.50, 0.00, 0.29, 0.00, 0.36, 0.30, 6.34, 0.00
cloud, XGBoost, 10, n_trees: 5 | M: 2 | , 0.60, 0.00, 0.14, 0.00, 0.43, 0.30, 0.52, 0.00
congressional-voting, BROOF, 1, n_trees: 15 | M: 10 | , 0.59, 0.06, 0.07, 0.33, 0.49, 0.38, 6.14, 0.23
congressional-voting, XGBoost, 1, n_trees: 15 | M: 10 | , 0.61, 0.12, 0.07, 0.50, 0.52, 0.40, 0.64, 0.00
congressional-voting, BROOF, 2, n_trees: 5 | M: 10 | , 0.64, 0.12, 0.04, 0.67, 0.54, 0.42, 5.69, 0.18
congressional-voting, XGBoost, 2, n_trees: 5 | M: 10 | , 0.64, 0.12, 0.04, 0.67, 0.54, 0.42, 0.64, 0.00
congressional-voting, BROOF, 3, n_trees: 10 | M: 15 | , 0.66, 0.41, 0.19, 0.58, 0.61, 0.47, 6.20, 0.23
congressional-voting, XGBoost, 3, n_trees: 10 | M: 15 | , 0.64, 0.35, 0.19, 0.55, 0.58, 0.44, 0.61, 0.00
congressional-voting, BROOF, 4, n_trees: 5 | M: 2 | , 0.55, 0.12, 0.19, 0.29, 0.47, 0.37, 5.43, 0.05
congressional-voting, XGBoost, 4, n_trees: 5 | M: 2 | , 0.59, 0.12, 0.11, 0.40, 0.50, 0.39, 0.65, 0.00
congressional-voting, BROOF, 5, n_trees: 5 | M: 15 | , 0.61, 0.24, 0.15, 0.50, 0.54, 0.41, 4.64, 0.18
congressional-voting, XGBoost, 5, n_trees: 5 | M: 15 | , 0.64, 0.29, 0.15, 0.56, 0.57, 0.44, 0.66, 0.00
congressional-voting, BROOF, 6, n_trees: 5 | M: 10 | , 0.63, 0.18, 0.08, 0.60, 0.55, 0.43, 4.69, 0.05
congressional-voting, XGBoost, 6, n_trees: 5 | M: 10 | , 0.60, 0.12, 0.08, 0.50, 0.52, 0.41, 0.67, 0.00
congressional-voting, BROOF, 7, n_trees: 20 | M: 10 | , 0.56, 0.12, 0.15, 0.33, 0.48, 0.39, 5.31, 0.24
congressional-voting, XGBoost, 7, n_trees: 20 | M: 10 | , 0.58, 0.06, 0.08, 0.33, 0.49, 0.39, 0.65, 0.00
congressional-voting, BROOF, 8, n_trees: 20 | M: 10 | , 0.58, 0.06, 0.08, 0.33, 0.49, 0.39, 6.47, 0.29
congressional-voting, XGBoost, 8, n_trees: 20 | M: 10 | , 0.60, 0.06, 0.04, 0.50, 0.51, 0.40, 0.68, 0.00
congressional-voting, BROOF, 9, n_trees: 10 | M: 5 | , 0.67, 0.19, 0.04, 0.75, 0.58, 0.44, 5.35, 0.05
congressional-voting, XGBoost, 9, n_trees: 10 | M: 5 | , 0.65, 0.12, 0.04, 0.67, 0.54, 0.41, 0.65, 0.00
congressional-voting, BROOF, 10, n_trees: 15 | M: 2 | , 0.65, 0.06, 0.00, 1.00, 0.53, 0.41, 6.89, 0.19
congressional-voting, XGBoost, 10, n_trees: 15 | M: 2 | , 0.63, 0.06, 0.04, 0.50, 0.51, 0.38, 0.64, 0.00
conn-bench-sonar-mines-rocks, BROOF, 1, n_trees: 10 | M: 2 | , 0.48, 0.40, 0.45, 0.44, 0.47, 0.46, 6.89, 0.39
conn-bench-sonar-mines-rocks, XGBoost, 1, n_trees: 10 | M: 2 | , 0.52, 0.60, 0.55, 0.50, 0.53, 0.49, 0.73, 0.00
conn-bench-sonar-mines-rocks, BROOF, 2, n_trees: 5 | M: 2 | , 0.57, 0.80, 0.64, 0.53, 0.58, 0.52, 5.42, 0.10
conn-bench-sonar-mines-rocks, XGBoost, 2, n_trees: 5 | M: 2 | , 0.86, 0.80, 0.09, 0.89, 0.85, 0.81, 0.76, 0.00
conn-bench-sonar-mines-rocks, BROOF, 3, n_trees: 15 | M: 2 | , 0.76, 0.70, 0.18, 0.78, 0.76, 0.69, 4.53, 0.38
conn-bench-sonar-mines-rocks, XGBoost, 3, n_trees: 15 | M: 2 | , 0.76, 0.60, 0.09, 0.86, 0.75, 0.70, 0.78, 0.00
conn-bench-sonar-mines-rocks, BROOF, 4, n_trees: 15 | M: 2 | , 0.52, 0.60, 0.55, 0.50, 0.53, 0.49, 6.46, 0.00
conn-bench-sonar-mines-rocks, XGBoost, 4, n_trees: 15 | M: 2 | , 0.71, 0.80, 0.36, 0.67, 0.72, 0.63, 0.78, 0.00
conn-bench-sonar-mines-rocks, BROOF, 5, n_trees: 10 | M: 15 | , 0.71, 0.60, 0.18, 0.75, 0.71, 0.64, 6.06, 0.59
conn-bench-sonar-mines-rocks, XGBoost, 5, n_trees: 10 | M: 15 | , 0.76, 0.60, 0.09, 0.86, 0.75, 0.70, 0.76, 0.00
conn-bench-sonar-mines-rocks, BROOF, 6, n_trees: 15 | M: 2 | , 0.71, 0.80, 0.36, 0.67, 0.72, 0.63, 6.35, 0.00
conn-bench-sonar-mines-rocks, XGBoost, 6, n_trees: 15 | M: 2 | , 0.86, 0.90, 0.18, 0.82, 0.86, 0.78, 0.78, 0.00
conn-bench-sonar-mines-rocks, BROOF, 7, n_trees: 20 | M: 10 | , 0.81, 1.00, 0.36, 0.71, 0.82, 0.71, 7.37, 0.97
conn-bench-sonar-mines-rocks, XGBoost, 7, n_trees: 20 | M: 10 | , 0.86, 1.00, 0.27, 0.77, 0.86, 0.77, 0.78, 0.38
conn-bench-sonar-mines-rocks, BROOF, 8, n_trees: 5 | M: 2 | , 0.62, 0.56, 0.33, 0.56, 0.61, 0.50, 7.14, 0.00
conn-bench-sonar-mines-rocks, XGBoost, 8, n_trees: 5 | M: 2 | , 0.71, 0.44, 0.08, 0.80, 0.68, 0.59, 0.78, 0.00
conn-bench-sonar-mines-rocks, BROOF, 9, n_trees: 10 | M: 5 | , 0.60, 0.22, 0.09, 0.67, 0.57, 0.50, 5.40, 0.00
conn-bench-sonar-mines-rocks, XGBoost, 9, n_trees: 10 | M: 5 | , 0.70, 0.33, 0.00, 1.00, 0.67, 0.63, 0.77, 0.00
conn-bench-sonar-mines-rocks, BROOF, 10, n_trees: 5 | M: 2 | , 0.85, 0.78, 0.09, 0.88, 0.84, 0.78, 5.17, 0.51
conn-bench-sonar-mines-rocks, XGBoost, 10, n_trees: 5 | M: 2 | , 0.85, 0.78, 0.09, 0.88, 0.84, 0.78, 0.78, 0.00
conn-bench-vowel-deterding, BROOF, 1, n_trees: 15 | M: 10 | , 0.98, 0.98, 0.00, 0.98, 1.00, 1.00, 10.68, 0.19
conn-bench-vowel-deterding, XGBoost, 1, n_trees: 15 | M: 10 | , 0.93, 0.93, 0.01, 0.93, 1.00, 1.00, 5.66, 0.08
conn-bench-vowel-deterding, BROOF, 2, n_trees: 20 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 8.37, 0.13
conn-bench-vowel-deterding, XGBoost, 2, n_trees: 20 | M: 10 | , 0.91, 0.91, 0.01, 0.92, 0.99, 1.00, 5.73, 0.00
conn-bench-vowel-deterding, BROOF, 3, n_trees: 15 | M: 15 | , 0.98, 0.98, 0.00, 0.98, 1.00, 1.00, 10.38, 0.21
conn-bench-vowel-deterding, XGBoost, 3, n_trees: 15 | M: 15 | , 0.89, 0.89, 0.01, 0.92, 1.00, 1.00, 5.72, 0.08
conn-bench-vowel-deterding, BROOF, 4, n_trees: 15 | M: 10 | , 0.96, 0.96, 0.00, 0.97, 1.00, 1.00, 8.92, 0.10
conn-bench-vowel-deterding, XGBoost, 4, n_trees: 15 | M: 10 | , 0.96, 0.96, 0.00, 0.96, 1.00, 1.00, 5.86, 0.02
conn-bench-vowel-deterding, BROOF, 5, n_trees: 20 | M: 5 | , 0.93, 0.93, 0.01, 0.94, 1.00, 1.00, 9.67, 0.08
conn-bench-vowel-deterding, XGBoost, 5, n_trees: 20 | M: 5 | , 0.85, 0.85, 0.02, 0.88, 1.00, 1.00, 5.79, 0.00
conn-bench-vowel-deterding, BROOF, 6, n_trees: 20 | M: 5 | , 0.90, 0.90, 0.01, 0.90, 0.99, 1.00, 9.49, 0.10
conn-bench-vowel-deterding, XGBoost, 6, n_trees: 20 | M: 5 | , 0.76, 0.76, 0.02, 0.76, 0.98, 1.00, 5.69, 0.02
conn-bench-vowel-deterding, BROOF, 7, n_trees: 20 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 8.03, 0.00
conn-bench-vowel-deterding, XGBoost, 7, n_trees: 20 | M: 2 | , 0.94, 0.94, 0.01, 0.94, 1.00, 1.00, 5.89, 0.00
conn-bench-vowel-deterding, BROOF, 8, n_trees: 20 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 12.11, 0.21
conn-bench-vowel-deterding, XGBoost, 8, n_trees: 20 | M: 10 | , 0.98, 0.98, 0.00, 0.98, 1.00, 1.00, 5.80, 0.00
conn-bench-vowel-deterding, BROOF, 9, n_trees: 20 | M: 5 | , 0.97, 0.97, 0.00, 0.97, 1.00, 1.00, 8.25, 0.02
conn-bench-vowel-deterding, XGBoost, 9, n_trees: 20 | M: 5 | , 0.94, 0.94, 0.01, 0.94, 1.00, 1.00, 5.82, 0.00
conn-bench-vowel-deterding, BROOF, 10, n_trees: 10 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 9.46, 0.10
conn-bench-vowel-deterding, XGBoost, 10, n_trees: 10 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.89, 0.02
contrac, BROOF, 1, n_trees: 5 | M: 5 | , 0.56, 0.51, 0.23, 0.52, 0.70, 1.00, 11.18, 0.06
contrac, XGBoost, 1, n_trees: 5 | M: 5 | , 0.57, 0.53, 0.22, 0.54, 0.73, 1.00, 3.41, 0.01
contrac, BROOF, 2, n_trees: 5 | M: 5 | , 0.47, 0.46, 0.28, 0.48, 0.66, 1.00, 10.95, 0.07
contrac, XGBoost, 2, n_trees: 5 | M: 5 | , 0.50, 0.48, 0.26, 0.48, 0.69, 1.00, 3.45, 0.00
contrac, BROOF, 3, n_trees: 5 | M: 2 | , 0.51, 0.47, 0.25, 0.47, 0.68, 1.00, 10.45, 0.00
contrac, XGBoost, 3, n_trees: 5 | M: 2 | , 0.51, 0.49, 0.24, 0.49, 0.72, 1.00, 3.41, 0.00
contrac, BROOF, 4, n_trees: 15 | M: 5 | , 0.50, 0.46, 0.27, 0.47, 0.69, 1.00, 10.69, 0.07
contrac, XGBoost, 4, n_trees: 15 | M: 5 | , 0.56, 0.54, 0.23, 0.57, 0.75, 1.00, 3.38, 0.05
contrac, BROOF, 5, n_trees: 5 | M: 2 | , 0.53, 0.51, 0.25, 0.54, 0.69, 1.00, 8.56, 0.00
contrac, XGBoost, 5, n_trees: 5 | M: 2 | , 0.61, 0.57, 0.21, 0.59, 0.76, 1.00, 3.37, 0.05
contrac, BROOF, 6, n_trees: 20 | M: 2 | , 0.46, 0.45, 0.28, 0.48, 0.68, 1.00, 10.88, 0.06
contrac, XGBoost, 6, n_trees: 20 | M: 2 | , 0.53, 0.53, 0.24, 0.55, 0.74, 1.00, 3.41, 0.00
contrac, BROOF, 7, n_trees: 20 | M: 2 | , 0.53, 0.51, 0.24, 0.51, 0.69, 1.00, 10.93, 0.01
contrac, XGBoost, 7, n_trees: 20 | M: 2 | , 0.59, 0.58, 0.21, 0.57, 0.76, 1.00, 3.38, 0.00
contrac, BROOF, 8, n_trees: 5 | M: 15 | , 0.55, 0.52, 0.23, 0.52, 0.70, 1.00, 9.84, 0.07
contrac, XGBoost, 8, n_trees: 5 | M: 15 | , 0.60, 0.57, 0.20, 0.57, 0.74, 1.00, 3.41, 0.00
contrac, BROOF, 9, n_trees: 5 | M: 5 | , 0.48, 0.46, 0.26, 0.46, 0.67, 1.00, 8.05, 0.00
contrac, XGBoost, 9, n_trees: 5 | M: 5 | , 0.53, 0.51, 0.24, 0.52, 0.70, 1.00, 3.41, 0.00
contrac, BROOF, 10, n_trees: 10 | M: 10 | , 0.48, 0.46, 0.27, 0.47, 0.68, 1.00, 9.49, 0.07
contrac, XGBoost, 10, n_trees: 10 | M: 10 | , 0.54, 0.54, 0.23, 0.54, 0.71, 1.00, 3.43, 0.05
credit-approval, BROOF, 1, n_trees: 5 | M: 15 | , 0.64, 0.39, 0.06, 0.88, 0.67, 0.68, 6.65, 0.12
credit-approval, XGBoost, 1, n_trees: 5 | M: 15 | , 0.55, 0.29, 0.13, 0.73, 0.58, 0.60, 0.89, 0.00
credit-approval, BROOF, 2, n_trees: 20 | M: 10 | , 0.77, 0.79, 0.26, 0.79, 0.77, 0.74, 7.76, 0.27
credit-approval, XGBoost, 2, n_trees: 20 | M: 10 | , 0.81, 0.82, 0.19, 0.84, 0.81, 0.78, 0.92, 0.03
credit-approval, BROOF, 3, n_trees: 10 | M: 15 | , 0.96, 0.95, 0.03, 0.97, 0.96, 0.95, 5.70, 0.15
credit-approval, XGBoost, 3, n_trees: 10 | M: 15 | , 0.96, 0.95, 0.03, 0.97, 0.96, 0.95, 0.96, 0.00
credit-approval, BROOF, 4, n_trees: 20 | M: 15 | , 0.94, 0.97, 0.10, 0.93, 0.94, 0.92, 7.93, 0.33
credit-approval, XGBoost, 4, n_trees: 20 | M: 15 | , 0.94, 0.97, 0.10, 0.93, 0.94, 0.92, 0.93, 0.00
credit-approval, BROOF, 5, n_trees: 10 | M: 10 | , 0.99, 1.00, 0.03, 0.97, 0.98, 0.97, 6.81, 0.15
credit-approval, XGBoost, 5, n_trees: 10 | M: 10 | , 0.96, 0.97, 0.06, 0.95, 0.95, 0.94, 0.94, 0.03
credit-approval, BROOF, 6, n_trees: 10 | M: 15 | , 0.91, 1.00, 0.19, 0.86, 0.90, 0.86, 6.80, 0.27
credit-approval, XGBoost, 6, n_trees: 10 | M: 15 | , 0.88, 0.97, 0.23, 0.84, 0.87, 0.83, 0.93, 0.00
credit-approval, BROOF, 7, n_trees: 15 | M: 10 | , 0.87, 0.97, 0.26, 0.82, 0.86, 0.82, 7.79, 0.18
credit-approval, XGBoost, 7, n_trees: 15 | M: 10 | , 0.87, 0.97, 0.26, 0.82, 0.86, 0.82, 0.91, 0.00
credit-approval, BROOF, 8, n_trees: 5 | M: 2 | , 0.64, 0.46, 0.13, 0.82, 0.66, 0.68, 7.89, 0.03
credit-approval, XGBoost, 8, n_trees: 5 | M: 2 | , 0.62, 0.46, 0.17, 0.78, 0.65, 0.67, 0.88, 0.00
credit-approval, BROOF, 9, n_trees: 15 | M: 2 | , 0.94, 0.97, 0.10, 0.93, 0.94, 0.92, 6.40, 0.12
credit-approval, XGBoost, 9, n_trees: 15 | M: 2 | , 0.97, 1.00, 0.07, 0.95, 0.97, 0.95, 0.91, 0.00
credit-approval, BROOF, 10, n_trees: 15 | M: 2 | , 0.84, 0.97, 0.33, 0.79, 0.82, 0.79, 8.00, 0.03
credit-approval, XGBoost, 10, n_trees: 15 | M: 2 | , 0.86, 0.97, 0.30, 0.81, 0.84, 0.80, 0.95, 0.12
cylinder-bands, BROOF, 1, n_trees: 15 | M: 2 | , 0.56, 0.75, 0.75, 0.62, 0.50, 0.62, 6.90, 0.00
cylinder-bands, XGBoost, 1, n_trees: 15 | M: 2 | , 0.56, 0.75, 0.75, 0.62, 0.50, 0.62, 1.04, 0.04
cylinder-bands, BROOF, 2, n_trees: 5 | M: 2 | , 0.67, 0.88, 0.65, 0.68, 0.61, 0.67, 7.83, 0.00
cylinder-bands, XGBoost, 2, n_trees: 5 | M: 2 | , 0.65, 0.78, 0.55, 0.69, 0.62, 0.68, 1.02, 0.00
cylinder-bands, BROOF, 3, n_trees: 5 | M: 2 | , 0.65, 0.87, 0.70, 0.66, 0.59, 0.65, 5.45, 0.00
cylinder-bands, XGBoost, 3, n_trees: 5 | M: 2 | , 0.69, 0.87, 0.60, 0.69, 0.64, 0.68, 1.02, 0.00
cylinder-bands, BROOF, 4, n_trees: 15 | M: 10 | , 0.47, 0.68, 0.85, 0.55, 0.41, 0.57, 7.35, 0.21
cylinder-bands, XGBoost, 4, n_trees: 15 | M: 10 | , 0.41, 0.55, 0.80, 0.52, 0.37, 0.56, 1.04, 0.00
cylinder-bands, BROOF, 5, n_trees: 15 | M: 2 | , 0.69, 0.87, 0.60, 0.69, 0.64, 0.68, 6.95, 0.04
cylinder-bands, XGBoost, 5, n_trees: 15 | M: 2 | , 0.82, 0.84, 0.20, 0.87, 0.82, 0.82, 1.04, 0.04
cylinder-bands, BROOF, 6, n_trees: 10 | M: 10 | , 0.61, 0.84, 0.75, 0.63, 0.54, 0.63, 7.14, 0.20
cylinder-bands, XGBoost, 6, n_trees: 10 | M: 10 | , 0.65, 0.81, 0.60, 0.68, 0.60, 0.66, 1.03, 0.00
cylinder-bands, BROOF, 7, n_trees: 10 | M: 2 | , 0.63, 0.65, 0.40, 0.71, 0.62, 0.68, 7.37, 0.04
cylinder-bands, XGBoost, 7, n_trees: 10 | M: 2 | , 0.65, 0.68, 0.40, 0.72, 0.64, 0.69, 1.04, 0.00
cylinder-bands, BROOF, 8, n_trees: 5 | M: 2 | , 0.51, 0.55, 0.55, 0.61, 0.50, 0.61, 6.44, 0.00
cylinder-bands, XGBoost, 8, n_trees: 5 | M: 2 | , 0.63, 0.65, 0.40, 0.71, 0.62, 0.68, 1.07, 0.00
cylinder-bands, BROOF, 9, n_trees: 10 | M: 15 | , 0.67, 0.74, 0.45, 0.72, 0.65, 0.69, 7.92, 0.40
cylinder-bands, XGBoost, 9, n_trees: 10 | M: 15 | , 0.59, 0.55, 0.35, 0.71, 0.60, 0.66, 1.03, 0.00
cylinder-bands, BROOF, 10, n_trees: 5 | M: 10 | , 0.80, 0.68, 0.00, 1.00, 0.84, 0.87, 7.88, 0.00
cylinder-bands, XGBoost, 10, n_trees: 5 | M: 10 | , 0.78, 0.65, 0.00, 1.00, 0.82, 0.86, 1.06, 0.00
dermatology, BROOF, 1, n_trees: 15 | M: 10 | , 0.95, 0.94, 0.01, 0.96, 1.00, 1.00, 6.81, 0.28
dermatology, XGBoost, 1, n_trees: 15 | M: 10 | , 0.97, 0.97, 0.01, 0.98, 1.00, 1.00, 2.11, 0.00
dermatology, BROOF, 2, n_trees: 5 | M: 15 | , 0.97, 0.97, 0.01, 0.97, 1.00, 1.00, 6.52, 0.22
dermatology, XGBoost, 2, n_trees: 5 | M: 15 | , 0.95, 0.94, 0.01, 0.95, 1.00, 1.00, 2.11, 0.00
dermatology, BROOF, 3, n_trees: 10 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 7.08, 0.00
dermatology, XGBoost, 3, n_trees: 10 | M: 2 | , 0.92, 0.93, 0.02, 0.94, 1.00, 1.00, 2.12, 0.05
dermatology, BROOF, 4, n_trees: 20 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 7.24, 0.55
dermatology, XGBoost, 4, n_trees: 20 | M: 10 | , 0.97, 0.98, 0.01, 0.97, 1.00, 1.00, 2.14, 0.00
dermatology, BROOF, 5, n_trees: 20 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.44, 0.22
dermatology, XGBoost, 5, n_trees: 20 | M: 5 | , 0.97, 0.97, 0.01, 0.97, 1.00, 1.00, 2.11, 0.00
dermatology, BROOF, 6, n_trees: 5 | M: 15 | , 0.95, 0.94, 0.01, 0.94, 1.00, 1.00, 6.26, 0.28
dermatology, XGBoost, 6, n_trees: 5 | M: 15 | , 0.92, 0.91, 0.02, 0.91, 1.00, 1.00, 2.12, 0.00
dermatology, BROOF, 7, n_trees: 15 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 7.15, 0.51
dermatology, XGBoost, 7, n_trees: 15 | M: 10 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 2.16, 0.22
dermatology, BROOF, 8, n_trees: 20 | M: 15 | , 0.97, 0.97, 0.01, 0.98, 1.00, 1.00, 5.90, 0.63
dermatology, XGBoost, 8, n_trees: 20 | M: 15 | , 0.97, 0.97, 0.01, 0.98, 1.00, 1.00, 2.14, 0.00
dermatology, BROOF, 9, n_trees: 20 | M: 2 | , 0.97, 0.97, 0.01, 0.98, 1.00, 1.00, 5.81, 0.23
dermatology, XGBoost, 9, n_trees: 20 | M: 2 | , 0.97, 0.97, 0.01, 0.98, 0.99, 1.00, 2.13, 0.00
dermatology, BROOF, 10, n_trees: 10 | M: 5 | , 0.92, 0.91, 0.02, 0.91, 0.99, 1.00, 5.78, 0.29
dermatology, XGBoost, 10, n_trees: 10 | M: 5 | , 0.94, 0.94, 0.01, 0.94, 1.00, 1.00, 2.15, 0.22
diabetes, BROOF, 1, n_trees: 5 | M: 5 | , 0.74, 0.59, 0.18, 0.64, 0.71, 0.52, 6.56, 0.13
diabetes, XGBoost, 1, n_trees: 5 | M: 5 | , 0.69, 0.63, 0.28, 0.55, 0.67, 0.48, 1.02, 0.00
diabetes, BROOF, 2, n_trees: 5 | M: 15 | , 0.77, 0.56, 0.12, 0.71, 0.72, 0.55, 7.89, 0.13
diabetes, XGBoost, 2, n_trees: 5 | M: 15 | , 0.75, 0.52, 0.12, 0.70, 0.70, 0.53, 1.01, 0.03
diabetes, BROOF, 3, n_trees: 15 | M: 10 | , 0.79, 0.63, 0.12, 0.74, 0.75, 0.60, 7.45, 0.26
diabetes, XGBoost, 3, n_trees: 15 | M: 10 | , 0.75, 0.67, 0.20, 0.64, 0.73, 0.55, 0.99, 0.00
diabetes, BROOF, 4, n_trees: 15 | M: 10 | , 0.70, 0.63, 0.26, 0.57, 0.68, 0.49, 7.08, 0.24
diabetes, XGBoost, 4, n_trees: 15 | M: 10 | , 0.70, 0.63, 0.26, 0.57, 0.68, 0.49, 0.99, 0.00
diabetes, BROOF, 5, n_trees: 10 | M: 10 | , 0.74, 0.41, 0.08, 0.73, 0.66, 0.51, 7.48, 0.13
diabetes, XGBoost, 5, n_trees: 10 | M: 10 | , 0.68, 0.30, 0.12, 0.57, 0.59, 0.42, 0.99, 0.20
diabetes, BROOF, 6, n_trees: 20 | M: 10 | , 0.79, 0.63, 0.12, 0.74, 0.75, 0.60, 7.88, 0.16
diabetes, XGBoost, 6, n_trees: 20 | M: 10 | , 0.71, 0.59, 0.22, 0.59, 0.69, 0.49, 1.00, 0.00
diabetes, BROOF, 7, n_trees: 15 | M: 15 | , 0.82, 0.63, 0.08, 0.81, 0.77, 0.64, 7.55, 0.27
diabetes, XGBoost, 7, n_trees: 15 | M: 15 | , 0.79, 0.67, 0.14, 0.72, 0.76, 0.60, 1.00, 0.00
diabetes, BROOF, 8, n_trees: 20 | M: 10 | , 0.86, 0.74, 0.08, 0.83, 0.83, 0.71, 6.66, 0.27
diabetes, XGBoost, 8, n_trees: 20 | M: 10 | , 0.79, 0.67, 0.14, 0.72, 0.76, 0.60, 0.99, 0.00
diabetes, BROOF, 9, n_trees: 20 | M: 10 | , 0.71, 0.46, 0.16, 0.60, 0.65, 0.46, 8.89, 0.27
diabetes, XGBoost, 9, n_trees: 20 | M: 10 | , 0.72, 0.50, 0.16, 0.62, 0.67, 0.48, 0.99, 0.03
diabetes, BROOF, 10, n_trees: 20 | M: 10 | , 0.82, 0.69, 0.12, 0.75, 0.79, 0.62, 6.55, 0.16
diabetes, XGBoost, 10, n_trees: 20 | M: 10 | , 0.78, 0.62, 0.14, 0.70, 0.74, 0.56, 1.00, 0.03
diggle_table_a2, BROOF, 1, n_trees: 5 | M: 2 | , 0.58, 1.00, 0.81, 0.54, 0.59, 0.54, 5.82, 0.00
diggle_table_a2, XGBoost, 1, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.42, 0.00
diggle_table_a2, BROOF, 2, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.17, 0.00
diggle_table_a2, XGBoost, 2, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.42, 0.00
diggle_table_a2, BROOF, 3, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 4.63, 0.00
diggle_table_a2, XGBoost, 3, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.40, 0.00
diggle_table_a2, BROOF, 4, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.17, 0.06
diggle_table_a2, XGBoost, 4, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.41, 0.00
diggle_table_a2, BROOF, 5, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.33, 0.00
diggle_table_a2, XGBoost, 5, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.40, 0.50
diggle_table_a2, BROOF, 6, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.06, 0.07
diggle_table_a2, XGBoost, 6, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.41, 0.00
diggle_table_a2, BROOF, 7, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 5.11, 0.00
diggle_table_a2, XGBoost, 7, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.40, 0.00
diggle_table_a2, BROOF, 8, n_trees: 5 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.78, 0.26
diggle_table_a2, XGBoost, 8, n_trees: 5 | M: 5 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.39, 0.50
diggle_table_a2, BROOF, 9, n_trees: 5 | M: 2 | , 0.97, 0.93, 0.00, 1.00, 0.96, 0.96, 6.44, 0.00
diggle_table_a2, XGBoost, 9, n_trees: 5 | M: 2 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.41, 0.00
diggle_table_a2, BROOF, 10, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 6.55, 0.07
diggle_table_a2, XGBoost, 10, n_trees: 5 | M: 15 | , 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.40, 0.00
disclosure_z, BROOF, 1, n_trees: 15 | M: 2 | , 0.52, 0.49, 0.44, 0.55, 0.52, 0.54, 6.82, 0.12
disclosure_z, XGBoost, 1, n_trees: 15 | M: 2 | , 0.51, 0.49, 0.47, 0.53, 0.51, 0.53, 0.91, 0.12
disclosure_z, BROOF, 2, n_trees: 15 | M: 10 | , 0.54, 0.49, 0.41, 0.57, 0.54, 0.54, 7.98, 0.16
disclosure_z, XGBoost, 2, n_trees: 15 | M: 10 | , 0.43, 0.29, 0.41, 0.43, 0.44, 0.50, 0.92, 0.00
disclosure_z, BROOF, 3, n_trees: 20 | M: 10 | , 0.55, 0.56, 0.47, 0.56, 0.55, 0.54, 6.82, 0.28
